time,phase,thrust_cmd,lox_pos_cmd,ipa_pos_cmd,lox_pos,lox_vel,lox_voltage,lox_current,ipa_pos,ipa_vel,ipa_voltage,ipa_current,chamber_pressure,lox_valve_upstream_pressure,lox_valve_downstream_pressure,lox_venturi_differential_pressure,lox_venturi_temperature,lox_valve_temperature,ipa_valve_upstream_pressure,ipa_valve_downstream_pressure,ipa_venturi_differential_pressure,chamber_pressure_controller_p_component,chamber_pressure_controller_i_component,lox_angle_controller_p_component,lox_angle_controller_i_component,ipa_angle_controller_p_component,ipa_angle_controller_i_component,lox_mdot,ipa_mdot,ol_lox_mdot,ol_ipa_mdot,ol_lox_angle,ol_ipa_angle,lox_valve_downstream_pressure_calc,ipa_valve_downstream_pressure_calc
0.005,0,560,0.14444,0.14167,0.14446,0,12.623,1.3675,0.14427,0.15259,12.717,3.8609,14.685,75.84,61.306,0.20385,122.52,122.52,155.06,87.801,0.23319,0,0,0,0,0,0,0.18019,0.16054,0,0,0,0,0,0
0.01,0,560,0.14444,0.14167,0.14446,0,12.623,1.5471,0.14402,0.015259,12.644,3.3112,14.692,74.744,60.747,0.59852,122.52,122.52,154.8,87.624,0.33825,0,0,0,0,0,0,0.30875,0.19335,0,0,0,0,0,0
0.015,0,560,0.14444,0.14167,0.14446,0,12.605,1.5471,0.14397,0.015259,12.69,2.0525,14.772,74.089,60.171,1.5077,122.52,122.52,155.42,87.25,0.21066,0,0,0,0,0,0,0.49003,0.15259,0,0,0,0,0,0
0.020001,0,560,0.14444,0.14167,0.14446,0,12.619,1.4506,0.14391,0,12.694,0.55502,14.75,73.638,59.993,1.7131,122.52,122.52,155.11,86.915,0.24845,0,0,0,0,0,0,0.52233,0.1657,0,0,0,0,0,0
0.025,0,560,0.14444,0.14167,0.14446,0,12.612,1.3226,0.14391,0,12.694,-0.46103,14.625,72.841,59.05,1.1929,122.52,122.52,155.93,86.793,0.30033,0,0,0,0,0,0,0.43588,0.18219,0,0,0,0,0,0
0.03,0,560,0.14444,0.14167,0.14446,0,12.605,1.4118,0.14391,0,12.685,-0.46103,14.597,72.11,58.647,0.25223,122.52,122.52,155.12,87.562,0.15111,0,0,0,0,0,0,0.20043,0.12923,0,0,0,0,0,0
0.035,0,560,0.14444,0.14167,0.14446,0,12.61,1.4749,0.14391,0,12.674,-2.4397,14.566,71.56,57.959,0.43215,122.52,122.52,155.85,87.948,0.17709,0,0,0,0,0,0,0.26235,0.1399,0,0,0,0,0,0
0.04,0,560,0.14444,0.14167,0.14446,0,12.61,1.5249,0.14379,0.015259,12.658,-2.0929,14.534,70.848,57.736,1.0476,122.52,122.52,154.93,88.192,0.20738,0,0,0,0,0,0,0.40846,0.15139,0,0,0,0,0,0
0.045001,0,560,0.14444,0.14167,0.14446,0,12.612,1.5249,0.14379,0,12.651,-2.9314,14.667,70.703,56.991,1.7829,122.52,122.52,154.53,87.718,0.18539,0,0,0,0,0,0,0.53288,0.14314,0,0,0,0,0,0
0.05,0,560,0.14444,0.14167,0.14446,0,12.603,1.4819,0.14293,0.091553,12.697,-1.361,14.834,69.786,56.519,1.3179,122.52,122.52,155.09,87.623,0.049777,0,0,0,0,0,0,0.45815,0.074171,0,0,0,0,0,0
0.055001,0,560,0.14444,0.14167,0.14446,0,12.614,1.2256,0.14183,0.12207,12.697,-1.361,14.769,68.915,56.021,0.35063,122.52,122.52,155.33,87.335,0.14756,0,0,0,0,0,0,0.23631,0.1277,0,0,0,0,0,0
0.06,0,560,0.14444,0.14167,0.14446,0,12.598,1.5253,0.14183,0.12207,12.699,-0.28969,14.772,68.232,55.615,0.19282,122.52,122.52,155.18,87.046,0.15022,0,0,0,0,0,0,0.17524,0.12885,0,0,0,0,0,0
0.065001,0,560,0.14444,0.14167,0.14446,0,12.598,1.4104,0.14019,0.18311,12.69,0.49362,14.762,67.84,55.132,1.0735,122.52,122.52,155,87.428,0.19882,0,0,0,0,0,0,0.4135,0.14824,0,0,0,0,0,0
0.07,0,560,0.14444,0.14167,0.14446,0,12.621,1.4104,0.13895,0.10681,12.694,2.4856,14.699,67.589,54.678,1.7354,122.52,122.52,155.24,87.267,0.17372,0,0,0,0,0,0,0.52573,0.13856,0,0,0,0,0,0
